Park Name,Park Category,Description,Address Line 1,Address Line 2,Address Line 3,City,State,Zip Code,Phone Number
Lewis & Clark,National Historic Trail,"The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon.  It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois.",601 Riverfront Dr.,,,Omaha,NE,68102,402 661-1804
Mammoth Cave,National Park,"Rolling hills, deep river valleys, and the worlds longest known cave system. Mammoth Cave National Park is home to thousands of years of human history and a rich diversity of plant and animal life, earning it the title of UNESCO World Heritage Site and International Biosphere Reserve.",P.O. Box 7,,,Mammoth Cave,KY,42259-0007,270 758-2180
Mill Springs Battlefield,National Monument,The Union won a significant victory early in the Civil War at The Battle of Mill Springs. Explore the rolling fields of Kentucky where the battle took place and learn about that state's strategic importance to both sides of the fight.,Mill Springs Battlefield National Monument,9020 West Highway 80,,Nancy,KY,42544,606-636-4045
Trail Of Tears,National Historic Trail,"Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839.",National Trails Office Regions 6|7|8,Trail of Tears National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
Cane River Creole,National Historical Park,"The Cane River region is home to a unique culture; the Creoles. Generations of the same families of owners and workers, enslaved and tenant, lived on these lands for over 200 years. The park tells their stories and preserves the cultural landscape of Oakland and Magnolia Plantations, two of the most intact Creole cotton plantations in the United States.",PO Box 925,,,Natchitoches,LA,71458,318-352-0383
El Camino Real de los Tejas,National Historic Trail,"Explore a diverse array of histories contained within El Camino Real de los Tejas’ 150-year life, including the Spanish struggle to missionize American Indian nations, the growth of cattle ranching in the Mexican period, and the movement for Texan independence and statehood.",National Trails Office Regions 6|7|8,El Camino Real de los Tejas National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
Jean Lafitte,National Historical Park and Preserve,"In Jean Lafitte's day, silver and gold filled a pirate's treasure chest, but today's treasures are people, places, and memories. Discover New Orleans’ rich cultural mix. Learn Cajun traditions from people who live them. Watch an alligator bask on a bayou’s bank. Walk in the footsteps of the men who fought at 1815’s Battle of New Orleans. Follow the link to discover the treasure of Jean Lafitte.",419 Decatur St,,,New Orleans,LA,70130,504 589-3882
New Orleans Jazz,National Historical Park,Only in New Orleans could there be a National Park for jazz! Drop by our visitor center temporary location at the Jean Lafitte National Historical Park & Preserve French Quarter Visitor Center at 419 Decatur Street to inquire about musical events around town. In the mood for a world class musical experience?,419 Decatur St,,,New Orleans,LA,70130,504 589-4841
Poverty Point,National Monument,"Now a nearly forgotten culture, Poverty Point at its peak 3,000 years ago was part of an enormous trading network that stretched for hundreds of miles across the continent. It was - and is - also an engineering marvel, the product of five million hours of labor. Explore the culture of a highly sophisticated people who left behind one of North America’s most important archeological sites.",6859 Hwy. 577,,,Pioneer,LA,71266,318 926-5492
Vicksburg,National Military Park,"To Confederate President Jefferson Davis, Vicksburg was the ""nailhead that holds the South's two halves together.""  President Abraham Lincoln remarked ""Vicksburg is the key"" to victory, and could be the north's lifeline into the south.
As the federals closed in on the Fortress City, they were met by a ring of forts with over 170 cannon. The resulting battle would determine the war's outcome.",3201 Clay Street,,,Vicksburg,MS,39183,601 636-0583
Acadia,National Park,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 3.5 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.",PO Box 177,,,Bar Harbor,ME,4609,207 288-3338
Appalachian,National Scenic Trail,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.",Appalachian Trail Park Office,P.O. Box 50,,Harpers Ferry,WV,25425,304 535-6278
Katahdin Woods and Waters,National Monument,"Spread across a wild landscape offering spectacular views of Mount Katahdin, Katahdin Woods and Waters invites discovery of its rivers, streams, woods, flora, fauna, geology, and the night skies that have attracted humans for millennia.",PO Box 446,,,Patten,ME,4765,207-456-6001
Maine Acadian Culture,,"Maine Acadians share beliefs and experiences tying them to a common religion, languages, and history. The St. John River, land, and family are essential to their culture. The National Park Service supports the Maine Acadian Heritage Council, an association of historical societies, cultural clubs, towns, and museums that work together to support Maine Acadian culture in the St. John Valley.",,,,Madawaska,ME,4756,207 728-6826
Roosevelt Campobello,International Park,"For many years, Franklin D. Roosevelt summered on Campobello Island. As an adult, he shared with his family the same active pursuits he enjoyed on the island as child. Although he visited less frequently after contracting polio, Campobello remained important to FDR. Today Roosevelt Campobello International Park serves as a memorial to FDR and a symbol of cooperation between the U.S. and Canada.",,,,Lubec,ME,4652,506 752-2922
Saint Croix Island,International Historic Site,"The winter of 1604-1605 on Saint Croix Island was a cruel one for Pierre Dugua's French expedition. Iced in by freezing temperatures and cut off from fresh water and game, 35 of 79 men died. As spring arrived and native people traded game for bread, the health of those remaining improved. Although the expedition moved on by summer, the beginning of French presence in North America had begun.",PO Box 247,,,Calais,ME,4619,207 454-3871
Antietam,National Battlefield,"23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led Abraham Lincoln to issue the preliminary Emancipation Proclamation.",P.O. Box 158,,,Sharpsburg,MD,21782,301 432-5124
Appalachian,National Scenic Trail,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.",Appalachian Trail Park Office,P.O. Box 50,,Harpers Ferry,WV,25425,304 535-6278
Assateague Island,National Seashore,"Want to live on the edge? Visit a place recreated each day by ocean wind and waves. Life on Assateague Island has adapted to an existence on the move. Explore sandy beaches, salt marshes, maritime forests and coastal bays. Rest, relax, recreate and enjoy some time on the edge of the continent.",7206 National Seashore Lane,,,Berlin,MD,21811,410 641-1441
